ticker;name;volume;last_price;variation
VIIA3;VIIA3;213149200;0.75;2.74
EKTR3;Elektro;100;33.50;-1.47
MWET3;Wetzel;100;13.30;0.08
USIM6;Usiminas;200;16.31;-0.24
AHEB5;São Paulo Turismo;100;16.59;0.48
ENBR3;EDP Brasil;1697900;24.08;0.12
BOAS3;Boa Vista;23239000;7.95;-0.38
PEAB4;Participações Aliança da Bahia;2600;74.00;2.78
COCE3;Coelce;200;50.01;2.86
JOPA4;Josapar;100;33.80;-1.20
MODL3;Banco Modal;16688000;3.08;0.33
MERC3;Mercantil do Brasil Financeira;51500;15.28;1.13
CEGR3;Naturgy (CEG);100;85.00;-4.49
MAPT3;Cemepe;300;30.05;0.00
CRDE3;CR2;400;16.00;0.00
IGBR3;IGB Eletrônica;700;175.99;1.14
MSPA4;Melhoramentos;100;40.00;0.00
ODER4;Conservas Oderich;100;100.00;12.35
PARD3;Hermes Pardini;1861800;18.10;1.29
CASN3;CASAN;100;10.43;-18.39
WIZS3;WIZS3;779400;7.16;1.99
LLIS3;LLIS3;249800;1.73;2.98
MSPA3;Melhoramentos;400;46.25;-7.52
BRML3;BRMalls;16132900;8.26;2.35
DMMO3;Dommo Energia;3254800;1.76;-1.12
GETT3;Getnet;46500;2.40;1.27
GETT4;Getnet;18500;2.40;1.27
SULA4;SulAmérica;18600;7.63;5.53
SULA3;SulAmérica;4000;7.43;1.50
CEPE5;CELPE;100;40.12;0.02
TCNO4;Tecnosolo;36800;0.85;-9.57
TCNO3;Tecnosolo;3400;1.20;-1.64
CEPE6;CELPE;100;43.00;6.17
BKBR3;BKBR3;782300;7.63;0.26
MTIG4;Metalgráfica Iguaçu;100;23.00;0.00
BLUT4;Blue Tech Solutions;171100;1.52;-5.59
BLUT3;Blue Tech Solutions;13400;5.14;0.59
MODL4;Banco Modal;700;2.72;-2.16
CARD3;CARD3;118000;14.51;1.82
SHUL3;Schulz;100;27.94;-50.12
FIGE3;Investimentos Bemge;100;12.03;99.83
FNCN3;Finansinos;4800;14.25;-0.35
TEKA3;Teka;100;8.23;1.73
HETA3;Hercules;200;96.00;0.00
LCAM3;Locamerica;26118900;24.15;1.86
BIDI4;Banco Inter;52479800;3.41;-2.01
BIDI3;Banco Inter;15262400;3.40;-2.58
EEEL4;CEEE GT;100;410.00;-2.88
EEEL3;CEEE GT;400;421.01;5.25
BBRK3;BBRK3;1279600;0.80;1.27
SOND3;Sondotécnica;200;46.01;14.45
CESP6;CESP;9306600;25.25;1.41
CESP3;CESP;11500;25.55;1.71
CESP5;CESP;300;25.00;2.75
ECPR4;Encorpar;100;90.74;0.42
MOSI3;Mosaico;1021200;8.24;3.00
POWE3;Focus Energia;678000;10.90;-2.24
ECPR3;Encorpar;300;90.25;12.97
GNDI3;NotreDame Intermédica;33458600;65.34;0.00
LAME4;Lojas Americanas;43631000;6.55;2.02
LAME3;Lojas Americanas;10941100;6.62;2.95
OMGE3;Omega Geração;834900;27.57;-0.86
IGTA3;IGTA3;1643400;33.13;0.18
JPSA3;JPSA3;100100;29.02;1.75
BRDT3;BRDT3;24483500;22.03;-5.17
JBDU4;JBDU4;2556100;1.36;3.82
JBDU3;JBDU3;1890100;3.12;9.09
HGTX3;Hering;7519800;37.50;-2.65
CCPR3;CCPR3;328200;10.16;-4.51
DTEX3;DTEX3;2867800;20.63;-3.10
VVAR3;VVAR3;64987000;11.30;-6.38
PNVL4;Dimed;2000;18.62;-2.67
TESA3;Terra Santa;41100;48.00;-2.74
BTOW3;BTOW3;11169600;68.00;4.15
LINX3;Linx;8510000;37.40;-0.27
BTTL3;Embpar;6100;19.72;-2.33
GPCP3;GPCP3;698100;49.00;-3.92
GPCP4;GPCP4;5300;45.51;-1.30
SMLS3;Smiles;1944100;22.40;-1.71
MMXM3;MMX Mineração;1240300;14.00;-30.35
BSEV3;Biosev;528800;9.00;8.43
