s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;ticker_type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-02-15;1644883200000;PETZ3.SA;17.79;18.89;17.69;18.55;18.45;10253800;stock;20.04;-7.94;20.18;-8.06;61.34;ESTAVEL
2022-02-16;1644969600000;PETZ3.SA;18.76;18.79;18.16;18.54;18.44;3789500;stock;20.03;-7.92;20.16;-8.03;61.25;ESTAVEL
2022-02-17;1645056000000;PETZ3.SA;18.54;19.24;18.3;18.85;18.75;7386100;stock;20.01;-6.31;20.15;-6.43;63.16;ESTAVEL
2022-02-18;1645142400000;PETZ3.SA;19.0;19.0;17.95;18.35;18.25;8201400;stock;19.99;-8.72;20.13;-8.83;58.17;ESTAVEL
2022-02-21;1645401600000;PETZ3.SA;18.88;18.97;17.15;17.2;17.11;3653900;stock;19.96;-14.3;20.1;-14.41;48.73;ESTAVEL
2022-02-22;1645488000000;PETZ3.SA;17.66;18.39;17.66;18.21;18.11;7015200;stock;19.95;-9.2;20.08;-9.3;55.55;ESTAVEL
2022-02-23;1645574400000;PETZ3.SA;18.28;18.6;17.85;17.85;17.75;4788700;stock;19.92;-10.91;20.05;-10.99;52.83;ESTAVEL
2022-02-24;1645660800000;PETZ3.SA;17.1;18.12;16.64;18.0;17.9;7547700;stock;19.9;-10.06;20.03;-10.15;53.84;ESTAVEL
2022-02-25;1645747200000;PETZ3.SA;17.78;18.2;17.22;17.49;17.39;6818100;stock;19.88;-12.51;20.01;-12.58;49.91;ESTAVEL
2022-03-02;1646179200000;PETZ3.SA;17.45;18.05;17.44;17.67;17.57;4506500;stock;19.85;-11.5;19.98;-11.58;51.26;ESTAVEL
2022-03-03;1646265600000;PETZ3.SA;17.67;18.76;17.6;18.28;18.18;8367700;stock;19.84;-8.35;19.97;-8.45;55.63;ESTAVEL
2022-03-04;1646352000000;PETZ3.SA;18.21;18.48;17.4;17.52;17.42;5055400;stock;19.81;-12.07;19.94;-12.14;49.66;ESTAVEL
2022-03-07;1646611200000;PETZ3.SA;17.35;17.38;15.9;15.95;15.86;9979400;stock;19.77;-19.78;19.9;-19.85;40.13;ESTAVEL
2022-03-08;1646697600000;PETZ3.SA;16.5;17.08;15.68;16.67;16.58;9881300;stock;19.74;-16.0;19.87;-16.09;45.34;ESTAVEL
2022-03-09;1646784000000;PETZ3.SA;16.85;18.4;16.85;18.16;18.06;9919800;stock;19.72;-8.42;19.85;-8.51;54.17;ESTAVEL
2022-03-10;1646870400000;PETZ3.SA;17.84;17.92;17.3;17.41;17.31;3430800;stock;19.7;-12.12;19.83;-12.18;49.78;ESTAVEL
2022-03-11;1646956800000;PETZ3.SA;17.6;17.99;16.43;16.68;16.59;6611300;stock;19.66;-15.64;19.79;-15.73;45.93;ESTAVEL
2022-03-14;1647216000000;PETZ3.SA;16.75;17.08;16.08;16.18;16.09;5785400;stock;19.63;-18.03;19.76;-18.1;43.42;ESTAVEL
2022-03-15;1647302400000;PETZ3.SA;16.01;17.25;16.01;17.13;17.04;8895000;stock;19.6;-13.07;19.73;-13.17;49.11;ESTAVEL
2022-03-16;1647388800000;PETZ3.SA;17.35;18.08;17.17;17.87;17.77;7431500;stock;19.58;-9.26;19.71;-9.34;53.03;ESTAVEL
2022-03-17;1647475200000;PETZ3.SA;18.1;18.24;17.17;18.0;17.9;11070500;stock;19.57;-8.51;19.69;-8.6;53.71;ESTAVEL
2022-03-18;1647561600000;PETZ3.SA;17.9;19.15;17.81;18.64;18.54;15231100;stock;19.56;-5.19;19.68;-5.29;57.02;ESTAVEL
2022-03-21;1647820800000;PETZ3.SA;18.7;18.77;17.69;17.94;17.84;7396400;stock;19.54;-8.69;19.66;-8.77;52.59;ESTAVEL
2022-03-22;1647907200000;PETZ3.SA;18.05;18.73;17.97;18.55;18.45;8561000;stock;19.53;-5.51;19.65;-5.61;55.81;ESTAVEL
