s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-08-10;1691625600000;OGHY11.SA;9.98;9.98;9.8;9.98;9.65;142;fii;;;;;66.91
2023-08-11;1691712000000;OGHY11.SA;9.98;9.98;9.82;9.98;9.65;80;fii;;;;;66.91
2023-08-14;1691971200000;OGHY11.SA;9.98;10.15;9.85;9.99;9.66;2663;fii;;;;;69.15
2023-08-15;1692057600000;OGHY11.SA;10.19;10.3;9.7;10.0;9.67;2413;fii;;;;;71.26
2023-08-16;1692144000000;OGHY11.SA;9.71;10.09;9.63;10.09;9.76;917;fii;;;;;82.69
2023-08-17;1692230400000;OGHY11.SA;10.3;10.3;9.85;10.24;9.9;155;fii;;;;;89.61
2023-08-18;1692316800000;OGHY11.SA;10.24;10.24;9.8;10.24;9.9;735;fii;;;;;89.61
2023-08-21;1692576000000;OGHY11.SA;10.24;10.3;10.2;10.29;9.95;236;fii;;;;;91.09
2023-08-22;1692662400000;OGHY11.SA;10.2;10.3;10.2;10.3;9.96;2193;fii;;;;;91.35
2023-08-23;1692748800000;OGHY11.SA;10.35;10.35;10.33;10.34;10.0;49;fii;;;;;92.33
2023-08-24;1692835200000;OGHY11.SA;10.34;10.34;10.2;10.34;10.0;41;fii;;;;;92.33
2023-08-25;1692921600000;OGHY11.SA;10.34;10.34;10.2;10.34;10.0;166;fii;;;;;92.33
2023-08-28;1693180800000;OGHY11.SA;10.34;10.34;10.2;10.34;10.0;490;fii;;;;;92.33
2023-08-29;1693267200000;OGHY11.SA;10.33;10.39;10.21;10.34;10.0;67;fii;;;;;92.33
2023-08-30;1693353600000;OGHY11.SA;10.39;10.39;10.2;10.39;10.05;242;fii;;;;;93.64
2023-08-31;1693440000000;OGHY11.SA;10.34;10.34;10.2;10.2;9.86;1657;fii;;;;;55.17
2023-09-01;1693526400000;OGHY11.SA;10.22;10.29;10.21;10.21;10.0;602;fii;;;;;66.19
2023-09-04;1693785600000;OGHY11.SA;9.68;9.74;9.4;9.7;9.5;1138;fii;;;;;34.02
2023-09-05;1693872000000;OGHY11.SA;10.03;10.03;9.94;10.03;9.82;52;fii;;;;;50.58
2023-09-06;1693958400000;OGHY11.SA;10.03;10.03;9.94;10.03;9.82;82;fii;;;;;50.58
2023-09-08;1694131200000;OGHY11.SA;10.03;10.03;9.94;10.03;9.82;59;fii;;;;;50.58
2023-09-11;1694390400000;OGHY11.SA;10.51;10.51;10.2;10.3;10.09;180;fii;;;;;60.91
2023-09-12;1694476800000;OGHY11.SA;10.3;10.3;10.3;10.3;10.09;70;fii;;;;;60.91
2023-09-13;1694563200000;OGHY11.SA;10.3;10.3;10.23;10.3;10.09;85;fii;;;;;60.91
2023-09-14;1694649600000;OGHY11.SA;10.3;10.3;10.2;10.21;10.0;127;fii;;;;;56.03
2023-09-15;1694736000000;OGHY11.SA;10.3;10.3;10.21;10.21;10.0;203;fii;;;;;56.03
2023-09-18;1694995200000;OGHY11.SA;10.3;10.3;10.21;10.3;10.09;301;fii;;;;;59.77
2023-09-19;1695081600000;OGHY11.SA;10.3;10.3;10.3;10.3;10.09;463;fii;;;;;59.77
2023-09-20;1695168000000;OGHY11.SA;10.3;10.3;10.21;10.3;10.09;364;fii;;;;;59.77
2023-09-21;1695254400000;OGHY11.SA;10.3;10.3;10.25;10.29;10.08;400;fii;;;;;59.07
2023-09-22;1695340800000;OGHY11.SA;10.3;10.3;9.97;10.22;10.01;895;fii;;;;;54.3
2023-09-25;1695600000000;OGHY11.SA;10.01;10.4;10.01;10.3;10.09;656;fii;;;;;58.44
